date,price
2022-08-28 00:00:00 UTC,20069.9533315962
2022-08-29 00:00:00 UTC,19659.2467061936
2022-08-30 00:00:00 UTC,20308.8614478915
2022-08-31 00:00:00 UTC,19805.350698858
2022-09-01 00:00:00 UTC,20023.5544449125
2022-09-02 00:00:00 UTC,20153.9759779825
2022-09-03 00:00:00 UTC,19941.4513700472
2022-09-04 00:00:00 UTC,19814.5642451146
2022-09-05 00:00:00 UTC,19980.0132222423
2022-09-06 00:00:00 UTC,19785.7335018551
2022-09-07 00:00:00 UTC,18859.5000876803
2022-09-08 00:00:00 UTC,19280.6254764568
2022-09-09 00:00:00 UTC,19322.7777493716
2022-09-10 00:00:00 UTC,21359.5825255791
2022-09-11 00:00:00 UTC,21707.3873193181
2022-09-12 00:00:00 UTC,21739.8043797955
2022-09-13 00:00:00 UTC,22339.6705026234
2022-09-14 00:00:00 UTC,20184.9674918965
2022-09-15 00:00:00 UTC,20255.9229783271
2022-09-16 00:00:00 UTC,19702.1698898117
2022-09-17 00:00:00 UTC,19764.4117120438
2022-09-18 00:00:00 UTC,20131.675305714
2022-09-19 00:00:00 UTC,19437.1578679826
2022-09-20 00:00:00 UTC,19570.3867095235
2022-09-21 00:00:00 UTC,18869.9288093905
2022-09-22 00:00:00 UTC,18539.6352383126
2022-09-23 00:00:00 UTC,19464.3226633485
2022-09-24 00:00:00 UTC,19291.9048024521
2022-09-25 00:00:00 UTC,18939.9705804994
2022-09-26 00:00:00 UTC,18809.4114393324
2022-09-27 00:00:00 UTC,19219.7277806565
2022-09-28 00:00:00 UTC,19116.3311607104
2022-09-29 00:00:00 UTC,19444.787771363
2022-09-30 00:00:00 UTC,19563.7651617769
2022-10-01 00:00:00 UTC,19476.9265960041
2022-10-02 00:00:00 UTC,19314.4638352174
2022-10-03 00:00:00 UTC,19065.153837149
2022-10-04 00:00:00 UTC,19620.5675435914
2022-10-05 00:00:00 UTC,20345.3985201066
2022-10-06 00:00:00 UTC,20161.830614985
2022-10-07 00:00:00 UTC,19949.0510414185
2022-10-08 00:00:00 UTC,19457.3089512511
2022-10-09 00:00:00 UTC,19418.037989244
2022-10-10 00:00:00 UTC,19448.1490017576
2022-10-11 00:00:00 UTC,19142.6947673929
2022-10-12 00:00:00 UTC,19058.6280397383
2022-10-13 00:00:00 UTC,19153.039779987
2022-10-14 00:00:00 UTC,19383.9432200889
2022-10-15 00:00:00 UTC,19198.1071449518
2022-10-16 00:00:00 UTC,19072.7805133589
2022-10-17 00:00:00 UTC,19272.921847772
2022-10-18 00:00:00 UTC,19557.8955488684
2022-10-19 00:00:00 UTC,19348.0293688104
2022-10-20 00:00:00 UTC,19134.2426644652
2022-10-21 00:00:00 UTC,19031.1598719595
2022-10-22 00:00:00 UTC,19173.2804688586
2022-10-23 00:00:00 UTC,19203.8654711771
2022-10-24 00:00:00 UTC,19574.8242318408
2022-10-25 00:00:00 UTC,19316.9406229421
2022-10-26 00:00:00 UTC,20095.1522306749
2022-10-27 00:00:00 UTC,20774.247496426
2022-10-28 00:00:00 UTC,20278.3662320522
2022-10-29 00:00:00 UTC,20591.2412080986
2022-10-30 00:00:00 UTC,20800.7070877247
2022-10-31 00:00:00 UTC,20623.8714970409
2022-11-01 00:00:00 UTC,20494.6012098371
2022-11-02 00:00:00 UTC,20489.6462031608
2022-11-03 00:00:00 UTC,20162.9809048225
2022-11-04 00:00:00 UTC,20210.9124171113
2022-11-05 00:00:00 UTC,21150.3155839124
2022-11-06 00:00:00 UTC,21282.9851094227
2022-11-07 00:00:00 UTC,20906.9979269551
2022-11-08 00:00:00 UTC,20597.7550170608
2022-11-09 00:00:00 UTC,18562.3532150896
2022-11-10 00:00:00 UTC,15742.4443359614
